,Description,Homepage,License,GNU?
Gbiff2,"Displays headers when new mail has arrived",http://gbiff.sourceforge.net/,License:GPLv2,
Gbm,"GNU R package ""Generalized Boosted Regression Models""",https://cran.r-project.org/web/packages/gbm,License:GPLv2orlater,
Gbonds,"U.S. savings bond inventory program",http://snaught.com/gbonds/,License:GPLv2orlater,
Gbr2ngc,"Gerber to GCode converter",https://github.com/abetusk/gbr2ngc,,
Gbrainy,"brain teaser game and trainer",https://wiki.gnome.org/Apps/gbrainy,License:GPLv2orlater,
Gbrowse,"GMOD Generic Genome Browser",http://www.gbrowse.org/,"Other,License:GPLv3orlater",
Gbuilder,"a C/C++ IDE for Gnome.",http://gbuilder.sourceforge.net/,"License:X11,License:GPLv2",
Gcal,"Calculate and display calendars.",https://www.gnu.org/software/gcal/,License:GPLv3orlater,[[File:Heckert_gnu.small.png|30px]]
Gcalctool,"Desktop calculator with basic, financial, and scientific modes",https://wiki.gnome.org/action/show/Apps/Calculator?action=show&redirect=Calculator,License:GPLv2orlater,
Gcap,"YouTube closed caption retriever",http://code.google.com/p/gcap/,License:GPLv3orlater,
Gcc,"GNU Compiler Collection.",https://gcc.gnu.org/,"License:LGPLv2.1orlater,License:GPLv3orlater with exception",[[File:Heckert_gnu.small.png|30px]]
Gcells,"A game like 8-cell-game or 15-cell-game",https://sourceforge.net/projects/gcells,License:GPLv2orlater,
Gchemutils,"GTK widgets and C++ classes related to chemistry.",https://www.nongnu.org/gchemutils/,"Other,License:GPLv2orlater,License:GPLv3orlater",
Gcide,"GNU Collaborative International Dictionary of English.",https://www.gnu.org/software/gcide/,License:GPLv3orlater,[[File:Heckert_gnu.small.png|30px]]
Gcin,"Input method server for Big5 traditional Chinese character sets",http://www.csie.nctu.edu.tw/~cp76/gcin/,LGPLv2.1,
Gcin-voice,"gcin voice data",http://hyperrate.com/dir.php?eid=67,Other,
Gcjwebplugin,"Browser plugin that executes Java applets",http://www.nongnu.org/gcjwebplugin/,"License:GPLv2orlater with exception",
Gcl,"Compiler and interpreter for Common Lisp.",https://www.gnu.org/software/gcl/,License:LGPLv2orlater,[[File:Heckert_gnu.small.png|30px]]
Gcompressor,"GUI frontend for decompression tools",http://gcompressor.sourceforge.net/,License:GPLv2orlater,
Gcompris,"Educational Game for Children.",https://gcompris.net,,[[File:Heckert_gnu.small.png|30px]]
Gconf,"Registry system",http://www.gnome.org/projects/gconf/,License:LGPL,
Gconf-editor,"an editor for the GConf configuration system.",http://linux.softpedia.com/get/Utilities/Gconf-Editor-16323.shtml,License:GPLv2orlater,
Gconjugue,"gtk program to conjugate Brazilian verbs",http://www.lepem.ufc.br/jaa/gconjugue/index.en.html,License:GPLv3orlater,
Gcount,"Web site counter",http://www.perturb.org/gcount/,License:SimplePermissiveNoNonWarranty,
Gcover,"CD covers for GNOME.",http://gcover.sourceforge.net/,License:GPLv2,
Gcp,"advanced command line file copy system",http://wiki.goffi.org/wiki/Gcp/en,License:GPLv3orlater,
Gcr,"GNOME crypto services (daemon and tools)",https://wiki.gnome.org/GnomeKeyring,Other,
Gcron,"A vixie cron, and posix compatible cron daemon.",https://www.gnu.org/software/gcron/,"License:GFDL,License:GPLv2orlater",
Gcstar,"Manage your collections of movies, games, books, music and more",http://www.gcstar.org/,"Other,License:GPLv2orlater,License:Expat",
Gcx,"Complete set of data-reduction functions for CCD photometry",http://astro.corlan.net/gcx/index.html,License:GPLv2orlater,
Gd,"Ruby bindings for libgd.",https://github.com/mtgrosser/gd/,License:X11,
GdMap,"A tool to display disk space using treemaps.",http://gdmap.sourceforge.net/,License:GPLv2,
Gdado,"Dice roller for roleplaying",http://gdado.sourceforge.net,License:GPLv2orlater,
Gdata-python-client,"Google Data Python client library",http://code.google.com/p/gdata-python-client,Other,
Gdb,"GNU Debugger.",https://www.gnu.org/software/gdb/,License:GPLv3orlater,"[[File:Heckert_gnu.small.png|30px]],"
Gdbm,"Hash library of database functions compatible with traditional dbm.",https://www.gnu.org/software/gdbm/,License:GPLv3orlater,[[File:Heckert_gnu.small.png|30px]]
Gdcalc,"RPN calculator with financial, development, scientific & statistic functions",http://bhepple.freeshell.org/dcalc/unix/,License:GPLv2orlater,
Gdcm,"Grassroots DICOM documentation",http://gdcm.sourceforge.net/,"PublicDomain,Zlib,Other,License:BSD 3Clause,License:BSD 2Clause,License:Expat",
Gdeditor,"Text editor",http://www.terra.es/personal/jcamgra/linux/gd-editor/,License:GPLv2orlater,
Gdictcn,"a gtk+ chinese dictionary online.",https://sourceforge.net/projects/gdictcn.berlios/,License:GPLv2,
Gdivelog,"A SCUBA dive logging application for GNOME.",http://gdivelog.sourceforge.net/,License:GPLv2,
Gdkxft,"Provides anti-aliased fonts",http://gdkxft.sourceforge.net/,License:LGPL,
Gdm,"GNOME version of xdm",http://www.jirka.org/gdm.html,License:GPLv2orlater,
Gdmap,"Tool to visualize diskspace",http://gdmap.sourceforge.net,License:GPLv2orlater,
Gdnsd,"authoritative domain name server",http://gdnsd.org/,"Other,License:GPLv3orlater",
Gdome2,"DOM C library for GNOME",http://gdome2.cs.unibo.it/,License:LGPL,
Gdpc,"Visualizes molecular simulation",http://koti.welho.com/jfrantz/software/gdpc.html,License:GPLv2orlater,
GePhex,"Modular video jockey software",http://www.gephex.org,License:GPLv2orlater,
GeSHi,"A generic syntax highlighter for PHP.",http://qbnz.com/highlighter,License:GPLv2,
Geany,"A fast and lightweight IDE",http://geany.org,License:GPLv2orlater,
Geany-plugins,"set of plugins for Geany",http://plugins.geany.org,"Other,License:GPLv2orlater,License:BSD 2Clause,License:GPLv2,License:GPLv3orlater",
Gearman,"Gearman client, worker, and server libraries for Python.",http://samuelks.com/python-gearman/,License:BSD,
Geary,"IMAP email client built for the GNOME desktop environment",https://wiki.gnome.org/Apps/Geary,"Other,License:LGPLv2.1orlater",
GeboGebo,"Wiki system",http://www.gebogebo.org,License:GPLv2orlater,
"Gecko Multimedia System","A replacement for your VCR, DVD, MP3, and CD player.",http://gecko.sourceforge.net,License:GPLv2,
Gecko-mediaplayer,"Multimedia plug-in for Gecko browsers",https://github.com/kdekorte/gecko-mediaplayer,"Other,License:GPLv2,LGPLv2.1",
Gecode,"Constraint programming library in C++.",http://www.gecode.org,License:Expat,
Geda-gaf,"GPL EDA -- Electronics design software (metapackage)",http://geda.seul.org/,License:GPLv2orlater,
Gedafe,"Web front end for databases",http://gedafe.github.io/index.en.html,License:GPLv2,
Gedcom,"interface to genealogy GEDCOM files",https://metacpan.org/release/Gedcom,Other,
Gedcom4j,"Java library for GEDCOM parsing and writing",http://gedcom4j.org,,
Gedit,"Lightweight text editor for GNOME",https://wiki.gnome.org/Apps/Gedit,License:GPLv3orlater,
"Geek Credit","p2p secure complementary currency",http://home.gna.org/geekcredit,License:GPLv2orlater,
Gegl,"Generic Graphics Library Test Program",http://gegl.org/,"Other,License:GPLv3",
Geiriadur,"Dictionary lookup engine and a dictionary editing system",http://www.cymraeg.ru/geiriadur,License:GPLv2orlater,
Geis,"Gesture engine interface support",https://launchpad.net/geis,"License:GPLv3,License:LGPLv3",
Gelf-rb,"Ruby GELF library - Graylog2 Extended Log Format library for Ruby",http://github.com/Graylog2/gelf-rb,License:Expat,
Gem,"Graphics Environment for Multimedia - Pure Data library",http://gem.iem.at/,"Other,License:GPLv2orlater,License:BSD 3Clause,License:GPLv3orlater",
GemRB,"GemRB is a portable open-source implementation of Bioware’s Infinity Engine",https://gemrb.org,,
Gembox,"A sinatra based interface for browsing and admiring your gems.",http://code.quirkey.com/gembox/,License:Expat,
Gemdropx,"Pull gems down and throw them back to make matches",http://www.newbreedsoftware.com/,License:GPLv2,
Gemifest,"Like Heroku's gem manifests, but for your own computer.",http://github.com/nakajima/gemifest,License:Expat,
Gemlv,"Gtk Email Viewer",https://github.com/bAndie91/gemlv,License:GPLv2,
Gems,"Shows a single console session in different computers or terminals",https://tracker.debian.org/pkg/gems,License:GPLv2orlater,
GenABEL,"GNU R package for genome-wide SNP association analysis",http://www.genabel.org/,License:GPLv2orlater,
GenABEL.data,"data package for genome-wide SNP association analysis",https://cran.r-project.org/web/packages/GenABEL.data,License:GPLv2orlater,
GenChemLab,"Simulates general chemistry laboratory exercises",http://genchemlab.sourceforge.net/,License:GPLv2orlater,
"General package for Octave","provide extra general functions for Octave",http://octave.sourceforge.net/general,"PublicDomain,License:BSD 3Clause,License:GPLv3orlater",
"Generic Coloriser","Colorises files or output of commands",https://github.com/garabik/grc/releases,License:GPLv2orlater,
"Generic NQS","Batch processing system",http://sourceforge.net/projects/gnqs/,License:GPLv2orlater,
Generic-deriving,"generic programming library for generalised deriving; documentation",http://hackage.haskell.org/package/generic-deriving,"License:BSD 3Clause",
Generic-pool,"generic resource pooling for Node.js",https://github.com/coopernurse/node-pool,License:Expat,
Generictionary,"A generic, modular, and interactive dictionary.",http://projects.comu.edu.tr/generictionary/,License:GPLv2,
"Genetic Algorithm File Fitter","A file filter powered by a genetic algorithm.",http://gaffitter.sourceforge.net,License:GPLv2orlater,
Geneweb,"Genealogy software",http://www.geneweb.org/,License:GPLv2orlater,
Gengen,"Parameterized-text-generator generator based on a template.",https://www.gnu.org/software/gengen/,License:GPLv3,[[File:Heckert_gnu.small.png|30px]]
Gengetopt,"Generates C function that uses getopt_long.",https://www.gnu.org/software/gengetopt/,License:GPLv3orlater,[[File:Heckert_gnu.small.png|30px]]
Genigma,"Free 'enigma' emulation",http://kingleo.home.pages.at/index.php?language=EN&show=/development/gnome/#genigma,License:GPLv2,
Genius,"Arbitrary precision integer and multiple precision floating point calculator",http://www.jirka.org/genius.html,License:GPLv3orlater,
Geniustrader,"Toolbox for systematic stock trading",http://www.geniustrader.org,License:GPLv2orlater,
Genome,"pipelines, tools, and data management for genomics",https://metacpan.org/release/Genome-Model-Tools-Music,"Other,License:GPLv2orlater",
GenomeInfoDb,"BioConductor utilities for manipulating chromosome identifiers",http://bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,Other,
Genometools,"The GenomeTools genome analysis system is a free collection of bioinformatics tools.",http://genometools.org/index.html,"License:ISC,Other,License:BSD 3Clause",
GenomicAlignments,"BioConductor representation and manipulation of short genomic alignments",http://bioconductor.org/packages/release/bioc/html/GenomicAlignments.html,Other,
GenomicFeatures,"GNU R tools for making and manipulating transcript centric annotations",http://www.bioconductor.org/packages/release/bioc/html/GenomicFeatures.html,Other,
GenomicRanges,"BioConductor representation and manipulation of genomic intervals",http://bioconductor.org/packages/release/bioc/html/GenomicRanges.html,Other,
Genparse,"command line parser generator",http://genparse.sourceforge.net,License:GPLv2orlater,
Genroms,"Generates ROM files for arcade machines or emulators",http://jsl.genroms.umlautllama.com/project.php?ShortName=Genroms,License:LGPLv2orlater,
Gens/GS,"A Sega Mega Drive emulator.",http://segaretro.org/Gens/GS,License:GPLv2,
Genshi,"Python toolkit for generation of output for the web",http://genshi.edgewall.org/,"License:BSD 3Clause",
GentlyWEB-utils,"java utility library used by josql",http://josql.sourceforge.net/,Other,
"Geo Weather","Retrieves weather.com information",http://search.cpan.org/~mmachado/Geo-Weather-1.41/,License:GPL,
Geo-Coder-Googlev3,"Perl module providing access to Google Maps v3 Geocoding API",https://metacpan.org/release/Geo-Coder-Googlev3,Other,
Geo-Coordinates-ITM,"conversion module between lat/lon and Irish Transverse Mercator",https://metacpan.org/release/Geo-Coordinates-ITM,Other,
Geo-Coordinates-OSGB,"converting module between Lat/Lon and the British National Grid",https://metacpan.org/release/Geo-Coordinates-OSGB,Other,
Geo-Coordinates-UTM,"Perl extension for Latitiude Longitude conversions",https://metacpan.org/release/Geo-Coordinates-UTM,Other,
Geo-Google-MapObject,"module managing the server side of the Google Maps API",https://metacpan.org/release/Geo-Google-MapObject,Other,
Geo-Gpx,"Perl module for creating and parsing GPX files",https://metacpan.org/release/Geo-Gpx,Other,
Geo-IP,"Perl interface to GeoIP library",https://metacpan.org/release/Geo-IP,Other,
Geo-IPfree,"module to look up the country of an IPv4 address",https://metacpan.org/release/Geo-IPfree,Other,
Geo-OSM-Tiles,"module for calculating tile numbers for OpenStreetMap",https://metacpan.org/release/Geo-OSM-Tiles,Other,
Geo-Point,"module to simplify handling geographic points",https://metacpan.org/release/Geo-Point,Other,
Geo-Proj4,"PROJ.4 library for cartographic projections",https://metacpan.org/release/Geo-Proj4,Other,
GeoGebra,"Dynamic mathematics software for education",https://packages.debian.org/stretch/education/geogebra,"PublicDomain,Other,License:GPLv3orlater",
GeoJSON,"encoder/decoder for simple GIS features.",https://pypi.python.org/pypi/geojson,"License:BSD 3Clause",
GeoTIFF,"GeoTIFF (geografic enabled TIFF) library -- tools",http://geotiff.osgeo.org/,"Other,License:BSD 3Clause",
"GeoTIFF Viewer","A viewer for GeoTIFF files.",http://www.rockgeeks.net/jon/software.html,License:GPLv2orlater,
GeoToad,"Speeds up choosing a cache and collecting data",http://toadstool.se/hacks/geotoad/,"License:BSD AdClause",
Geoclue,"geoinformation service",http://geoclue.freedesktop.org/,"Other,License:GPLv2orlater,License:LGPLv2orlater",
Geocode-glib,"geocoding and reverse geocoding GLib library using Nominatim",https://developer.gnome.org/geocode-glib/,License:LGPLv2orlater,
Geography-Countries,"2-letter, 3-letter, and numerical codes for countries.",https://metacpan.org/release/Geography-Countries,Other,
Geolinks,"Library for using geospatial links (catalogue interoperablity)",https://pypi.org/project/geolinks,Other,
Geometry-Primitive,"module to represent geometric entities",https://metacpan.org/release/Geometry-Primitive,Other,
Geomview,"Interactive 3D viewing program",http://www.geomview.org/,License:LGPL,
Geonkick,"Percussion synthesizer",https://gitlab.com/iurie-sw/geonkick,,
Geophar,"Swiss army knife for the math teacher",http://sourceforge.net/projects/geophar/,"Other,License:GPLv2",
Geopy,"geocoding toolbox for Python",http://code.google.com/p/geopy/,License:Expat,
Gephi,"network analysis and visualization software",https://gephi.org/,,
Gequel,"GTK-based frontend for MySQL",http://ta.twi.tudelft.nl/ftp/dv/lemmens/gequel.html,License:GPLv2,
Germinate,"expand dependencies in a list of seed packages",https://tracker.debian.org/pkg/germinate,License:GPLv2orlater,
"Geronimo JTA","Geronimo API implementation of the JTA 1.1 spec",http://geronimo.apache.org,Other,
Geronimo-spec-commonj,"Java API for concurrent programming of EJBs and Servlets",https://tracker.debian.org/pkg/geronimo-commonj-spec,Other,
Gerstensaft,"Frontend for Simple Asynchronous File Transfer",http://www.infodrom.org/projects/gerstensaft/,License:GPLv2orlater,
Gertty,"Console-based interface to Gerrit",https://github.com/stackforge/gertty,Other,
Gesdonis,"DNS zones helper for BIND9",https://www.actiu.net/gesdonis/,License:GPLv3,
Gestalter,"Vector drawing program",http://www.linotux.ch/gestalter/,License:GPLv2orlater,
Get-flash-videos,"video downloader for various Flash-based video hosting sites",http://code.google.com/p/get-flash-videos/,"PublicDomain,Other,License:GPLv3orlater",
GetAbsPath,"Converts paths from relative to absolute",http://getabspath.sourceforge.net/,License:GPLv2orlater,
GetDP,"Finite element solver",http://geuz.org/getdp/,License:GPLv2orlater,
GetID3,"Extracts useful information from multimedia files",http://getid3.sourceforge.net,License:GPLv2,
GetLive,"fetch mail from your Hotmail Live account",http://getlive.sourceforge.net/,License:GPLv2orlater,
GetOpts,"a C++ version of the getopt function.",http://getoptpp.blogspot.com/,License:GPLv3,
Getargs,"Python command line parser",http://iamroot.beigetower.org/getargs.html,License:GPLv2,
Getattach.pl.txt,"Retrieves email attachments",http://www.softwaremagic.net/?frame=project,License:GPLv2orlater,
Getdata,"management of external databases",http://debian-med.alioth.debian.org,License:GPLv2orlater,
Getgui,"Adds a GUI to shell scripts",http://getgui.sourceforge.net/,License:GPLv2orlater,
Getleft,"Downloads all links from a particular URL",http://personal1.iddeo.es/andresgarci/getleft/english/,License:GPLv2orlater,
Getmail,"a mail retrieval, sorting, and delivering system",http://pyropus.ca/software/getmail/,License:GPLv2,
Getopt-Complete,"programmable shell completion for Perl apps",https://metacpan.org/release/Getopt-Complete,Other,
Getopt-Euclid,"command line interface dynamically built from the documentation",https://metacpan.org/release/Getopt-Euclid,Other,
Getopt-Long-Descriptive,"module that handles command-line arguments with usage text",https://metacpan.org/release/Getopt-Long-Descriptive,Other,
Getopt-Lucid,"module for parsing command line arguments",https://metacpan.org/release/Getopt-Lucid,Other,
Getopt-Tabular,"table-driven argument parsing for Perl 5",https://metacpan.org/release/Getopt-Tabular,Other,
Gettext,"Tools to produce multi-lingual messages.",https://www.gnu.org/software/gettext/,"License:GPLv3orlater,License:LGPLv2.1orlater",[[File:Heckert_gnu.small.png|30px]]
Gettext-ant-tasks,"Java classes for internationalization (i18n) - Ant tasks",http://code.google.com/p/gettext-commons/,Other,
Gevent-socketio,"Socket.IO server based on the gevent pywsgi server",https://github.com/abourget/gevent-socketio,"Other,License:BSD 3Clause",
Gevent-websocket,"websocket library for the gevent networking library",https://bitbucket.org/Jeffrey/gevent-websocket,Other,
"Gevice: GNOME Network Device","a tool for the administration of network devices.",http://projects.gnome.org/gevice/,License:GPLv3,
Gewels,"Gewels is a version of Jewels game for Gnome",http://gewels.sourceforge.net/,License:GPLv2orlater,
Gexiv2,"GObject wrapper around the Exiv2 photo metadata library",https://wiki.gnome.org/Projects/gexiv2,"License:GPLv3orlater,License:LGPLv2.1orlater",
Gf-complete,"Galois Field Arithmetic - shared library",https://bitbucket.org/jimplank/gf-complete,Other,
Gfal2,"Grid file access library 2.0",https://svnweb.cern.ch/trac/lcgutil/wiki/gfal2,Other,
Gfan,"program for computing with Groebner fans",http://home.imf.au.dk/jensen/software/gfan/gfan.html,License:GPLv2,
Gfax,"Front end fax manager for GNOME",http://gfax.cowlug.org/,License:GPLv2orlater,
Gfbgraph,"GObject library for Facebook Graph API - documentation",https://wiki.gnome.org/Projects/GFBGraph,Other,
Gfe,"Graphical font editor.",https://www.gnu.org/software/gfe/,License:GPLv2orlater,
Gfeed,"RSS feed reader for Gtk+ 2.0",http://sourceforge.net/projects/gfeed,License:GPLv2,
Gflags,"commandline flags module for C++ (shared library)",https://code.google.com/p/gflags/,"License:BSD 3Clause",
Gfontview,"Font viewer for outline fonts",http://gfontview.sourceforge.net/,License:GPL,
Gforge,"Collaborative development tool.",https://web.archive.org/web/20080919123125/http://gforge.org/,License:GPLv2orlater,
Gforth,"Portable implementation of ANS Forth language.",https://www.gnu.org/software/gforth/,License:GPLv3orlater,[[File:Heckert_gnu.small.png|30px]]
Gfortran,"Fortran compiler",https://www.gnu.org/software/gcc/,License:GPLv2orlater,
Gfs2-utils,"Global File System 2 - filesystem tools",http://sources.redhat.com/cluster/wiki/,License:GPLv2orlater,
Gfslicer,"Splits and joins files for removable media",https://tracker.debian.org/pkg/gfslicer,License:GPLv2orlater,
Gfxboot,"tool to test and create graphical boot logos (runtime)",http://gfxboot.sourceforge.net/,License:GPLv2orlater,
Ggcov,"GUI for reporting test coverage data",http://ggcov.sourceforge.net/,License:GPLv2orlater,
Ggiterm,"Terminal emulator that can be displayed on a variety of targets",http://ggiterm.sourceforge.net,License:GPLv2orlater,
Ggplot2,"implementation of the Grammar of Graphics",http://had.co.nz/ggplot2,Other,
Ggradebook,"Fully-featured GNU gradebook.",https://www.gnu.org/software/ggradebook/,License:GPLv3orlater,[[File:Heckert_gnu.small.png|30px]]
Ggv,"Gnome GhostView.",https://www.gnu.org/software/ggv/,License:GPLv2orlater,
Gh,"GitHub CLI",https://cli.github.com/,License:Expat,
Ghc,"Haskell compiler and interactive environment",http://haskell.org/ghc/,"License:BSD 3Clause",
Ghemical,"Molecular modelling application",http://www.bioinformatics.org/ghemical/ghemical/index.html,License:GPLv2,
Gherkin,"lexer and parser for the Gherkin language in Ruby",http://github.com/cucumber/gherkin,License:Expat,
Ghex,"Binary file editor",https://wiki.gnome.org/Apps/Ghex,License:GPLv2,
Ghost,"Just a blogging platform",https://ghost.org/,License:Expat,
Ghostscript,"PostScript and PDF interpreter.",https://www.gnu.org/software/ghostscript/,"Other,AGPLv3orlater,License:AGPLv3 with exception",[[File:Heckert_gnu.small.png|30px]]
Ghostview,"An X11 user interface for ghostscript.",https://www.gnu.org/software/ghostview/,"License:GPLv2orlater,License:BSD 3Clause,License:GPLv1orlater,License:BSD 4Clause",
Ghostwriter,"A markdown editor",http://wereturtle.github.io/ghostwriter/,License:GPLv3,
Ghp-import,"Easily import docs to your gh-pages branch",https://github.com/davisp/ghp-import,Other,
Ghronos,"Gaming clock intended primarily for chess and go",http://ghronos.sourceforge.net,License:GPL,
GiFT-FastTrack,"An implementation of the FastTrack P2P protocol for giFT.",http://gift-fasttrack.berlios.de/,License:GPLv2orlater,
GiNaC,"Open framework for symbolic computation within C++",http://www.ginac.de/,License:GPLv2orlater,
Giac,"Free computer algebra system",http://www-fourier.ujf-grenoble.fr/~parisse/giac.html,License:GPLv3,
Giblib,"wrapper library for imlib2, and other stuff",http://linuxbrit.co.uk/giblib/,License:Expat,
Gicq,"GTK+ based ICQ instant messaging client",http://gicq.sourceforge.net/,License:GPLv2orlater,
Gicqd,gicqd.,https://www.gnu.org/software/gicqd/,,
Gif2apng,"tool for converting animated GIF images to APNG format",http://gif2apng.sourceforge.net,Other,
Giflib,"a library for reading and writing gif images.",http://giflib.sourceforge.net/,License:Expat,
Gifsicle,"Tool for manipulating GIF image files",http://www.lcdf.org/gifsicle/,License:GPLv2orlater,
Gift,"Content based image retrieval system.",https://www.gnu.org/software/gift/,"License:GPLv2orlater,LGPLv2.1",[[File:Heckert_gnu.small.png|30px]]
"GigaBlast Search","GigaBlast.com is free software search engine. This extension adds GigaBlast to your firefox search engines list.",http://gigablast.com/,,
Giggle,"GTK+ frontend for the git directory tracker",http://live.gnome.org/giggle,"Other,License:GPLv2orlater,License:LGPLv2orlater",
Gimagereader,"Graphical GTK+ front-end to tesseract-ocr",https://github.com/manisandro/gImageReader,License:GPLv3orlater,
Gimmage,"A simple image viewer that supports command line operation.",https://sourceforge.net/projects/gimmage.berlios/,License:GPLv2orlater,
Gimmix,"Gimmix is a graphical music player daemon (mpd) client written in C using GTK+2.",https://launchpad.net/gimmix,License:GPLv2orlater,
Gimp,"GNU Image Manipulation Program.",https://www.gnu.org/software/gimp/,"License:GPLv3orlater,License:LGPLv3orlater","[[File:Heckert_gnu.small.png|30px]],"
"Gimp Text Colorer","Colorizes text",http://the.sunnyspot.org/gimp/plugins.html,License:GPLv2orlater,
Gimp-print,"Suite of printer drivers that may be used with most common UNIX and Linux print spooling systems.",http://gimp-print.sourceforge.net/index.php,License:GPLv2orlater,
Gimplensfun,"Gimp plugin to correct lens distortion using the lensfun library",http://seebk.github.io/GIMP-Lensfun/,License:GPLv3orlater,
Gina,"Modified version of the Zina MP3 streamer/jukebox",http://www.seas.upenn.edu/~bdodson/gina/,License:GPLv2orlater,
Ginga,"middleware implementation for digital TVs",http://www.ginga.org.br/en,License:GPLv2,
Ginger,"a web based rss news reader",https://ginger.ws/wiki/pino/projs/ginger,License:GPLv3,
"Ginkgo CADx","Medical Imaging Software and complete DICOM Viewer",http://ginkgo-cadx.com/,"PublicDomain,Other,License:LGPLv3",
Ginsu,"Chop up/Stitch together large files.",http://newcenturycomputers.net/projects/ginsu.html,License:GPLv2orlater,
Gip,"Makes IP address-based calculations",https://code.google.com/archive/p/gip,License:GPLv2orlater,
Giptables,"Scripts to generate iptables rules for Linux 2.4.x and newer kernels.",https://www.gnu.org/software/giptables/,License:GPLv2orlater,
Gir-ffi,"FFI-based GObject binding using the GObject Introspection Repository",http://www.github.com/mvz/ruby-gir-ffi,Other,
Gist,"Upload gists to gist.github.com",https://github.com/defunkt/gist,License:Expat,
Git,"Distributed revision control and source code management system",http://git-scm.com/,LGPLv2.1,
"Git Cola","Graphical Git client",https://git-cola.github.io/,License:GPLv2,
"Git Commit Notifier","Sends HTML email commit messages splitting commits that were pushed in one step.",http://github.com/wesabe/git-commit-notifier,License:Expat,
Git-PurePerl,"Pure Perl interface to Git repositories",https://metacpan.org/release/Git-PurePerl,Other,
Git-Repository,"Perl interface to Git repositories",https://metacpan.org/release/Git-Repository,Other,
Git-Repository-Plugin-Log,"Git::Repository plugin adding log items",https://metacpan.org/release/Git-Repository-Plugin-Log,Other,
Git-Wrapper,"Perl module to wrap git command-line interface",https://metacpan.org/release/Git-Wrapper,Other,
Git-annex,"manage files with git, without checking their contents into git",https://git-annex.branchable.com,"Other,AGPLv3orlater,License:GPLv3orlater",
Git-extras,"Extra commands for git",http://github.com/visionmedia/git-extras,Other,
Git-ftp,"Git powered FTP client written as shell script",http://github.com/git-ftp/git-ftp,License:GPLv3,
Git-reintegrate,"Git extension to manage integration branches",https://github.com/felipec/git-reintegrate,"Other,License:GPLv2",
Git-remote-bzr,"bidirectional bridge between Git and Bazaar",https://github.com/felipec/git-remote-bzr,Other,
Git-remote-hg,"bidirectional bridge between Git and Mercurial",https://github.com/felipec/git-remote-hg,Other,
Git-repair,"repair various forms of damage to git repositorie",http://git-repair.branchable.com/,"License:BSD 2Clause,License:GPLv3orlater",
Git-review,"git command for submitting branches to Gerrit",https://github.com/openstack-infra/git-review,Other,
Git-sh,"a git shell",http://rtomayko.github.com/git-sh/,"License:GPLv2orlater,License:GPLv2",
GitBucket,"A self-hosted Git platform",https://gitbucket.github.io/,Apache2.0,
GitLab,"read-only mirror of GitLab, with all proprietary code removed",https://gitlab.com/gitlab-org/gitlab-foss,License:Expat,
GitPython,"Python Git Library.",https://pypi.org/project/GitPython,"License:BSD 3Clause",
Gitarella,"A Web frontend for GIT.",http://flameeyes.is-a-geek.org/projects#gitarella,License:GPLv2orlater,
Gitea,"A painless self-hosted software forge",https://gitea.io/en-US/,License:Expat,
Gitenc,"Sensitive data file encryption while using Git, with GPG; never accidentally submit a password config to a repo again.",https://github.com/angela-d/gitenc,License:GPLv2,
Gitflow,"Git extension to provide a high-level branching model",https://github.com/petervanderdoes/gitflow/wiki,"Other,License:BSD 2Clause",
Gitg,"Git GUI",https://wiki.gnome.org/Apps/Gitg,License:GPLv2orlater,
Github-backup,"backs up data from GitHub",http://github.com/joeyh/github-backup,"License:BSD 2Clause,License:GPLv3orlater",
Github-markup,"GitHub Markup rendering",http://github.com/github/markup,"PublicDomain,Other,License:Expat",
Gitit,"Wiki engine backed by a git or darcs filestore",http://hackage.haskell.org/package/gitit,"PublicDomain,Other,License:GPLv2orlater",
Gitlib,"API library for working with Git repositories; documentation",http://hackage.haskell.org/package/gitlib,License:Expat,
Gitorious,"A web application for hosting, managing and contributing on Git repositories.",https://gitorious.org,AGPLv3orlater,
Gitserved,"Browse historical revisions of a static website stored in a Git repository.",http://github.com/zapnap/gitserved,License:Expat,
Gitso,"simple frontend for reverse VNC connections (remote assistance)",http://code.google.com/p/gitso/,"License:BSD 3Clause,License:GPLv3orlater",
Giv,"An image and vector viewer.",http://giv.sourceforge.net/giv/,License:GPLv2orlater,
Givaro,"arithmetic and algebraic computations",http://ljk.imag.fr/CASYS/LOGICIELS/givaro/,Other,
"Give Take","Filesharing application",http://www.mcs.drexel.edu/~ucdahn/mysoft/,License:GPLv2,
"Gizmo Daemon","A program to control a computer in any way based on events from input devices.",http://gizmod.sourceforge.net/,License:GPLv2orlater,
Gizzard,"A framework for creating distributed datastores.",http://github.com/stevej/gizzard,Apache2.0,
Gjots,"Lets you make notes in tree form",http://bhepple.freeshell.org/gjots,License:GPLv2,
Gkrellm2-cpufreq,"CPU frequency plugin for GKrellM",http://chw.populus.org/rub/7,License:GPLv2,
Gksu,"Gtk+ frontend to su and sudo.",https://www.nongnu.org/gksu/,License:GPLv2orlater,
GlChess,"A 3D chess interface.",http://glchess.sourceforge.net/,License:GPL,
GlFlow,"A fast, robust (D)DoS detector.",http://glflow.sourceforge.net/,License:GPLv2orlater,
GlParchis,"A 3D game of Parcheesi.",http://glparchis.sourceforge.net/,License:GPLv2orlater,
